Цена,Наличие,Название
132101,ЗАКАЗ,"Ноутбук Acer Predator PH317-55-5306 < NH.QB6EX.00N > (Core i5 11400H, 16 ГБ, 1 ТБ SSD, GeForce®  RTX 3060 (192 бита), WiFi, BT, Win11, 17"")"
111280,10.05,"Ноутбук MSI Pulse GL76 12UEK-088XRU < 9S7-17L314-088 > (Intel Core i5 12500H, 16 ГБ, 512 ГБ SSD, GeForce®  RTX 3060 (192 бита), WiFi, BT, noOS, 17"")"
103257,ЗАКАЗ,"Ноутбук ASUS 90NR0714-M001Z0 TUF FX706HEB-HX166W 17.3"" i5 11400H / 8192Mb / 512PCISSDGb / RTX3050 Ti (4096Mb) / Graphite Black / W11"
94090,ЗАКАЗ,"Ноутбук ASUS TUF Gaming F17 FX706HEB-HX103 < 90NR0713-M03690 > (Intel Core i5 11400H, 8 ГБ, 512 ГБ SSD, GeForce®  RTX 3050 Ti (128 бит), WiFi, BT, noOS, 17"")"
103841,ЗАКАЗ,"Ноутбук HP Laptop 17-cn1002ny < 60V13EA#B1R > (Intel Core i5 1155G7, 8 ГБ, 512 ГБ SSD, GeForce®  MX350 (64 бита), WiFi, BT, Win11, 17"")"
75608,ЗАКАЗ,"Ноутбук Acer Aspire A317-53-526H < NX.AD0ER.01B > (Core i5 1135G7, 16 ГБ, 512 ГБ SSD, WiFi, BT, Win11, 17"")"
67010,10.05,"Ноутбук Acer Aspire 3 A317 < NX.HZWER.006 > (Intel Core i5 1035G1, 8 ГБ, 512 ГБ SSD, WiFi, noOS, 17"")"
91755,ЗАКАЗ,"Ноутбук HP ProBook 470 G8 < 45P80ES#ACB > (Intel Core i3 1125G4, 8 ГБ, 256 ГБ SSD, WiFi, BT, noOS, 17"")"
61588,ЗАКАЗ,"Ноутбук ASUS VivoBook R754EA < 90NB0TW1-M007X0 > i3 1115G4 / 8 / 512SSD / WiFi / BT / Win11 / 17.3"""
61588,ЗАКАЗ,"Ноутбук ASUS A712EA < 90NB0TW1-M06400 > i3 1115G4 / 8 / 512SSD / WiFi / BT / Win11 / 17.3"""
43645,ЗАКАЗ,"Ноутбук ASUS X705MA-BX163 < 90NB0IF2-M003A0 > (Intel Pentium Silver N5030, 8 ГБ, 256 ГБ SSD, WiFi, BT, noOS, 17"")"
192090,ЗАКАЗ,XE5-73RU744HP Gigabyte AERO 17 XE5 Core i7 12700H / DDR5 32Gb / SSD1Tb / RTX 3070Ti 8Gb / 17.3 / UHD / IPS / 360hz / Win11Pro / black
160845,ЗАКАЗ,"Ноутбук ASUS 90NR08K4-M004Z0 ROG G713RM-KH097 17.3"" Ryzen 7 6800H / 16384Mb / 1024PCISSDGb / RTX3060 (6144Mb) / Eclipse Gray / DOS"
